colour	x	y	tooltip	showSelected2	fill
#B385FF	1	1	"Game 1 - Apr 15, 2024
Points this game: 1
Goals this game: 0
+/-: -1
Cumulative points: 1"	2023	#B385FF
#B385FF	2	2	"Game 2 - Apr 16, 2024
Points this game: 1
Goals this game: 0
+/-: -1
Cumulative points: 2"	2023	#B385FF
#EF67EB	1	0	"Game 1 - Oct 09, 2024
Points this game: 0
Goals this game: 0
+/-: 0
Cumulative points: 0"	2024	#EF67EB
#EF67EB	2	2	"Game 2 - Oct 10, 2024
Points this game: 2
Goals this game: 0
+/-: 3
Cumulative points: 2"	2024	#EF67EB
#EF67EB	3	4	"Game 3 - Oct 12, 2024
Points this game: 2
Goals this game: 0
+/-: 2
Cumulative points: 4"	2024	#EF67EB
#EF67EB	4	4	"Game 4 - Oct 14, 2024
Points this game: 0
Goals this game: 0
+/-: -4
Cumulative points: 4"	2024	#EF67EB
#EF67EB	5	4	"Game 5 - Oct 17, 2024
Points this game: 0
Goals this game: 0
+/-: -2
Cumulative points: 4"	2024	#EF67EB
#EF67EB	6	4	"Game 6 - Oct 19, 2024
Points this game: 0
Goals this game: 0
+/-: 2
Cumulative points: 4"	2024	#EF67EB
#EF67EB	7	4	"Game 7 - Oct 22, 2024
Points this game: 0
Goals this game: 0
+/-: -4
Cumulative points: 4"	2024	#EF67EB
#EF67EB	8	5	"Game 8 - Oct 26, 2024
Points this game: 1
Goals this game: 0
+/-: 2
Cumulative points: 5"	2024	#EF67EB
#EF67EB	9	5	"Game 9 - Oct 27, 2024
Points this game: 0
Goals this game: 0
+/-: 0
Cumulative points: 5"	2024	#EF67EB
#EF67EB	10	5	"Game 10 - Oct 29, 2024
Points this game: 0
Goals this game: 0
+/-: -2
Cumulative points: 5"	2024	#EF67EB
#EF67EB	11	7	"Game 11 - Oct 31, 2024
Points this game: 2
Goals this game: 0
+/-: 2
Cumulative points: 7"	2024	#EF67EB
#EF67EB	12	7	"Game 12 - Nov 02, 2024
Points this game: 0
Goals this game: 0
+/-: -1
Cumulative points: 7"	2024	#EF67EB
#EF67EB	13	7	"Game 13 - Nov 05, 2024
Points this game: 0
Goals this game: 0
+/-: 0
Cumulative points: 7"	2024	#EF67EB
#EF67EB	14	7	"Game 14 - Nov 07, 2024
Points this game: 0
Goals this game: 0
+/-: -2
Cumulative points: 7"	2024	#EF67EB
#EF67EB	15	8	"Game 15 - Nov 09, 2024
Points this game: 1
Goals this game: 0
+/-: 0
Cumulative points: 8"	2024	#EF67EB
#EF67EB	16	10	"Game 16 - Nov 11, 2024
Points this game: 2
Goals this game: 0
+/-: 2
Cumulative points: 10"	2024	#EF67EB
#EF67EB	17	10	"Game 17 - Nov 14, 2024
Points this game: 0
Goals this game: 0
+/-: -2
Cumulative points: 10"	2024	#EF67EB
