colour	x	y	tooltip	showSelected2	fill
#00BD5C	1	0	"Game 1 - Oct 03, 2019
Points this game: 0
Goals this game: 0
+/-: 1
Cumulative points: 0"	2019	#00BD5C
#00BD5C	2	0	"Game 2 - Oct 05, 2019
Points this game: 0
Goals this game: 0
+/-: -1
Cumulative points: 0"	2019	#00BD5C
#00BD5C	3	1	"Game 3 - Oct 09, 2019
Points this game: 1
Goals this game: 0
+/-: 1
Cumulative points: 1"	2019	#00BD5C
#00BD5C	4	1	"Game 4 - Oct 10, 2019
Points this game: 0
Goals this game: 0
+/-: 1
Cumulative points: 1"	2019	#00BD5C
#00BD5C	5	1	"Game 5 - Oct 12, 2019
Points this game: 0
Goals this game: 0
+/-: 0
Cumulative points: 1"	2019	#00BD5C
#00BD5C	6	1	"Game 6 - Oct 15, 2019
Points this game: 0
Goals this game: 0
+/-: 1
Cumulative points: 1"	2019	#00BD5C
#00BD5C	7	2	"Game 7 - Oct 17, 2019
Points this game: 1
Goals this game: 1
+/-: 1
Cumulative points: 2"	2019	#00BD5C
#00BD5C	8	3	"Game 8 - Oct 19, 2019
Points this game: 1
Goals this game: 1
+/-: 3
Cumulative points: 3"	2019	#00BD5C
#00BD5C	9	3	"Game 9 - Oct 20, 2019
Points this game: 0
Goals this game: 0
+/-: 1
Cumulative points: 3"	2019	#00BD5C
#00BD5C	10	3	"Game 10 - Oct 24, 2019
Points this game: 0
Goals this game: 0
+/-: 0
Cumulative points: 3"	2019	#00BD5C
#00BD5C	11	4	"Game 11 - Oct 26, 2019
Points this game: 1
Goals this game: 1
+/-: 1
Cumulative points: 4"	2019	#00BD5C
#00BD5C	12	5	"Game 12 - Oct 30, 2019
Points this game: 1
Goals this game: 0
+/-: 1
Cumulative points: 5"	2019	#00BD5C
#00BD5C	13	5	"Game 13 - Oct 31, 2019
Points this game: 0
Goals this game: 0
+/-: 1
Cumulative points: 5"	2019	#00BD5C
#00BD5C	14	6	"Game 14 - Nov 02, 2019
Points this game: 1
Goals this game: 0
+/-: 1
Cumulative points: 6"	2019	#00BD5C
#00BD5C	15	6	"Game 15 - Nov 05, 2019
Points this game: 0
Goals this game: 0
+/-: 0
Cumulative points: 6"	2019	#00BD5C
#00BD5C	16	6	"Game 16 - Nov 07, 2019
Points this game: 0
Goals this game: 0
+/-: -2
Cumulative points: 6"	2019	#00BD5C
#00BD5C	17	6	"Game 17 - Nov 09, 2019
Points this game: 0
Goals this game: 0
+/-: -1
Cumulative points: 6"	2019	#00BD5C
#00BD5C	18	7	"Game 18 - Nov 12, 2019
Points this game: 1
Goals this game: 0
+/-: 1
Cumulative points: 7"	2019	#00BD5C
#00BD5C	19	8	"Game 19 - Nov 15, 2019
Points this game: 1
Goals this game: 1
+/-: 1
Cumulative points: 8"	2019	#00BD5C
#00BD5C	20	9	"Game 20 - Nov 16, 2019
Points this game: 1
Goals this game: 1
+/-: 0
Cumulative points: 9"	2019	#00BD5C
#00BD5C	21	9	"Game 21 - Nov 19, 2019
Points this game: 0
Goals this game: 0
+/-: -1
Cumulative points: 9"	2019	#00BD5C
#00BD5C	22	10	"Game 22 - Nov 20, 2019
Points this game: 1
Goals this game: 1
+/-: 0
Cumulative points: 10"	2019	#00BD5C
#00BD5C	23	12	"Game 23 - Nov 23, 2019
Points this game: 2
Goals this game: 0
+/-: 1
Cumulative points: 12"	2019	#00BD5C
#00BD5C	24	12	"Game 24 - Nov 26, 2019
Points this game: 0
Goals this game: 0
+/-: -4
Cumulative points: 12"	2019	#00BD5C
#00BD5C	25	12	"Game 25 - Nov 28, 2019
Points this game: 0
Goals this game: 0
+/-: 0
Cumulative points: 12"	2019	#00BD5C
#00BD5C	26	13	"Game 26 - Nov 30, 2019
Points this game: 1
Goals this game: 0
+/-: 1
Cumulative points: 13"	2019	#00BD5C
#00BD5C	27	13	"Game 27 - Dec 01, 2019
Points this game: 0
Goals this game: 0
+/-: -1
Cumulative points: 13"	2019	#00BD5C
#00BD5C	28	14	"Game 28 - Dec 03, 2019
Points this game: 1
Goals this game: 0
+/-: 1
Cumulative points: 14"	2019	#00BD5C
#00BD5C	29	14	"Game 29 - Dec 05, 2019
Points this game: 0
Goals this game: 0
+/-: -1
Cumulative points: 14"	2019	#00BD5C
#00BD5C	30	15	"Game 30 - Dec 06, 2019
Points this game: 1
Goals this game: 0
+/-: 0
Cumulative points: 15"	2019	#00BD5C
#00BD5C	31	15	"Game 31 - Dec 10, 2019
Points this game: 0
Goals this game: 0
+/-: 1
Cumulative points: 15"	2019	#00BD5C
#00BD5C	32	15	"Game 32 - Dec 11, 2019
Points this game: 0
Goals this game: 0
+/-: 0
Cumulative points: 15"	2019	#00BD5C
#00BD5C	33	15	"Game 33 - Dec 14, 2019
Points this game: 0
Goals this game: 0
+/-: 0
Cumulative points: 15"	2019	#00BD5C
#00BD5C	34	15	"Game 34 - Dec 17, 2019
Points this game: 0
Goals this game: 0
+/-: 1
Cumulative points: 15"	2019	#00BD5C
#00BD5C	35	16	"Game 35 - Dec 19, 2019
Points this game: 1
Goals this game: 1
+/-: 1
Cumulative points: 16"	2019	#00BD5C
