colour	x	y	tooltip	showSelected2	fill
#00C1A7	1	0	"Game 1 - Apr 26, 2021
Points this game: 0
Goals this game: 0
+/-: 0
Cumulative points: 0"	2020	#00C1A7
#00C1A7	2	0	"Game 2 - Apr 28, 2021
Points this game: 0
Goals this game: 0
+/-: -1
Cumulative points: 0"	2020	#00C1A7
#00C1A7	3	0	"Game 3 - Apr 30, 2021
Points this game: 0
Goals this game: 0
+/-: 1
Cumulative points: 0"	2020	#00C1A7
#00C1A7	4	1	"Game 4 - May 01, 2021
Points this game: 1
Goals this game: 1
+/-: 1
Cumulative points: 1"	2020	#00C1A7
#00C1A7	5	2	"Game 5 - May 03, 2021
Points this game: 1
Goals this game: 1
+/-: 1
Cumulative points: 2"	2020	#00C1A7
#00C1A7	6	2	"Game 6 - May 05, 2021
Points this game: 0
Goals this game: 0
+/-: -2
Cumulative points: 2"	2020	#00C1A7
#00C1A7	7	3	"Game 7 - May 06, 2021
Points this game: 1
Goals this game: 1
+/-: -2
Cumulative points: 3"	2020	#00C1A7
#00C1A7	8	3	"Game 8 - May 08, 2021
Points this game: 0
Goals this game: 0
+/-: 0
Cumulative points: 3"	2020	#00C1A7
#00C1A7	9	3	"Game 9 - May 10, 2021
Points this game: 0
Goals this game: 0
+/-: 0
Cumulative points: 3"	2020	#00C1A7
#00C1A7	10	5	"Game 10 - May 12, 2021
Points this game: 2
Goals this game: 1
+/-: 1
Cumulative points: 5"	2020	#00C1A7
#00BADE	1	0	"Game 1 - Oct 13, 2021
Points this game: 0
Goals this game: 0
+/-: -1
Cumulative points: 0"	2021	#00BADE
#00BADE	2	0	"Game 2 - Oct 14, 2021
Points this game: 0
Goals this game: 0
+/-: 0
Cumulative points: 0"	2021	#00BADE
#00BADE	3	0	"Game 3 - Oct 16, 2021
Points this game: 0
Goals this game: 0
+/-: 0
Cumulative points: 0"	2021	#00BADE
#00BADE	4	0	"Game 4 - Oct 19, 2021
Points this game: 0
Goals this game: 0
+/-: -1
Cumulative points: 0"	2021	#00BADE
#00BADE	5	0	"Game 5 - Oct 21, 2021
Points this game: 0
Goals this game: 0
+/-: -2
Cumulative points: 0"	2021	#00BADE
#00BADE	6	1	"Game 6 - Oct 23, 2021
Points this game: 1
Goals this game: 0
+/-: 2
Cumulative points: 1"	2021	#00BADE
#00BADE	7	1	"Game 7 - Oct 26, 2021
Points this game: 0
Goals this game: 0
+/-: 0
Cumulative points: 1"	2021	#00BADE
#00BADE	8	1	"Game 8 - Oct 28, 2021
Points this game: 0
Goals this game: 0
+/-: 1
Cumulative points: 1"	2021	#00BADE
